"url","id","label","label_it","label_en","label_de","level"
"46170","46.17.0","Attività di intermediari del commercio all'ingrosso di prodotti alimentari, bevande e tabacchi","Attività di intermediari del commercio all'ingrosso di prodotti alimentari, bevande e tabacchi","Activities of agents involved in the wholesale of food, beverages and tobacco","Tätigkeiten der Großhandelsvermittlung von Nahrungsmitteln, Getränken und Tabakwaren","5"
"461701","46.17.01","Attività di intermediari del commercio all'ingrosso di frutta e ortaggi","Attività di intermediari del commercio all'ingrosso di frutta e ortaggi","Activities of agents involved in the wholesale of fruit and vegetables","Tätigkeiten der Großhandelsvermittlung von Obst, Gemüse und Kartoffeln","6"
"461702","46.17.02","Attività di intermediari del commercio all'ingrosso di carne e prodotti a base di carne","Attività di intermediari del commercio all'ingrosso di carne e prodotti a base di carne","Activities of agents involved in the wholesale of meat and meat products","Tätigkeiten der Großhandelsvermittlung von Fleisch und Fleischprodukten","6"
"461703","46.17.03","Attività di intermediari del commercio all'ingrosso di pesce e prodotti a base di pesce","Attività di intermediari del commercio all'ingrosso di pesce e prodotti a base di pesce","Activities of agents involved in the wholesale of fish and fish products","Tätigkeiten der Großhandelsvermittlung von Fisch und Fischprodukten","6"
"461704","46.17.04","Attività di intermediari del commercio all'ingrosso di latte e prodotti lattiero-caseari","Attività di intermediari del commercio all'ingrosso di latte e prodotti lattiero-caseari","Activities of agents involved in the wholesale of milk and dairy products","Tätigkeiten der Großhandelsvermittlung von Milch und Milcherzeugnissen","6"
"461705","46.17.05","Attività di intermediari del commercio all'ingrosso di oli e grassi alimentari","Attività di intermediari del commercio all'ingrosso di oli e grassi alimentari","Activities of agents involved in the wholesale of edible oils and fats","Tätigkeiten der Großhandelsvermittlung von Speiseölen und -fetten","6"
"461706","46.17.06","Attività di intermediari del commercio all'ingrosso di bevande","Attività di intermediari del commercio all'ingrosso di bevande","Activities of agents involved in the wholesale of beverages","Tätigkeiten der Großhandelsvermittlung von Getränken","6"
"461707","46.17.07","Attività di intermediari del commercio all'ingrosso di altri prodotti alimentari e tabacchi","Attività di intermediari del commercio all'ingrosso di altri prodotti alimentari e tabacchi","Activities of agents involved in the wholesale of other food and tobacco","Tätigkeiten der Großhandelsvermittlung von anderen Nahrungsmitteln und Tabakwaren","6"
"4618","46.18","Attività di intermediari del commercio all'ingrosso di altri prodotti specifici","Attività di intermediari del commercio all'ingrosso di altri prodotti specifici","Activities of agents involved in the wholesale of other particular products","Tätigkeiten der Großhandelsvermittlung von sonstigen Waren","4"
"46181","46.18.1","Attività di intermediari del commercio all'ingrosso di prodotti farmaceutici e articoli medicali, profumi e articoli di profumeria e prodotti per la pulizia","Attività di intermediari del commercio all'ingrosso di prodotti farmaceutici e articoli medicali, profumi e articoli di profumeria e prodotti per la pulizia","Activities of agents involved in the wholesale of pharmaceutical and medical goods, perfumery and toilet articles and cleaning materials","Tätigkeiten der Großhandelsvermittlung von pharmazeutischen Erzeugnissen und medizinischen Artikeln, Parfüms und Körperpflegemitteln und Reinigungsmitteln","5"
"461811","46.18.11","Attività di intermediari del commercio all'ingrosso di prodotti farmaceutici","Attività di intermediari del commercio all'ingrosso di prodotti farmaceutici","Activities of agents involved in the wholesale of pharmaceutical goods","Tätigkeiten der Großhandelsvermittlung von pharmazeutischen Erzeugnissen","6"
"461812","46.18.12","Attività di intermediari del commercio all'ingrosso di articoli medicali","Attività di intermediari del commercio all'ingrosso di articoli medicali","Activities of agents involved in the wholesale of medical goods","Tätigkeiten der Großhandelsvermittlung von medizinischen Artikeln","6"
"461813","46.18.13","Attività di intermediari del commercio all'ingrosso di profumi e articoli di profumeria","Attività di intermediari del commercio all'ingrosso di profumi e articoli di profumeria","Activities of agents involved in the wholesale of perfumery and toilet articles","Tätigkeiten der Großhandelsvermittlung von Parfüms und Körperpflegemitteln","6"
"461814","46.18.14","Attività di intermediari del commercio all'ingrosso di prodotti per la pulizia","Attività di intermediari del commercio all'ingrosso di prodotti per la pulizia","Activities of agents involved in the wholesale of cleaning materials","Tätigkeiten der Großhandelsvermittlung von Reinigungsmitteln","6"
"46182","46.18.2","Attività di intermediari del commercio all'ingrosso di giochi e giocattoli, attrezzature sportive, orologi e gioielli, apparecchiature fotografiche e strumenti ottici","Attività di intermediari del commercio all'ingrosso di giochi e giocattoli, attrezzature sportive, orologi e gioielli, apparecchiature fotografiche e strumenti ottici","Activities of agents involved in the wholesale of games and toys, sports goods, watches, clocks and jewellery, photographic and optical equipment","Tätigkeiten der Großhandelsvermittlung von Spielwaren, Sportgeräten, Uhren und Schmuck, fotografischen und optischen Geräten und Instrumenten","5"
"461821","46.18.21","Attività di intermediari del commercio all'ingrosso di giochi e giocattoli","Attività di intermediari del commercio all'ingrosso di giochi e giocattoli","Activities of agents involved in the wholesale of games and toys","Tätigkeiten der Großhandelsvermittlung von Spielwaren","6"
